,Opponent,Color,Accuracy,AvgLoss,Blunders,Mistakes,Inaccuracies,TotalMoves,Normalized AvgLoss
953,SultanFurkanHan,Black,88.4,47.0,0,7,3,30,6.855654600401044
954,ABP76,White,84.3,96.2,6,12,13,77,9.808159868191384
955,Gennady_M,White,84.0,83.7,3,4,2,36,9.148770409186143
956,fadi5444,White,74.0,137.3,9,11,4,54,11.717508267545622
957,fadi5444,Black,89.8,31.6,0,4,4,35,5.621387729022079
958,fadi5444,White,82.5,83.2,4,11,6,49,9.121403400793104
959,fadi5444,Black,84.9,117.9,8,8,10,70,10.858176642512316
960,juliosilv,White,78.6,94.6,1,4,3,20,9.726253132630262
961,miskecekr,White,89.3,31.5,0,3,3,35,5.612486080160912
962,pixiefulpavement,White,84.2,77.2,2,8,7,33,8.78635305459552
963,murat5989,Black,85.1,73.7,3,3,3,29,8.5848704125339
964,varganciano,White,78.4,125.1,9,7,7,51,11.184811129384348
965,cneo21,Black,81.7,111.2,2,1,2,19,10.545141061171254
966,TBricker1,Black,81.9,61.8,1,5,2,22,7.861297602813418
967,Tshepzer_MacKay1,White,81.1,111.3,3,3,4,18,10.549881515922348
968,Archimedes51,Black,78.4,145.7,5,3,0,24,12.070625501605125
969,Ramtin311,White,82.6,67.6,3,4,7,39,8.221921916437786
970,Sehrgeil,Black,73.9,225.8,7,1,5,28,15.026643005009468
971,darraghg,Black,92.2,40.4,2,6,10,59,6.356099432828281
972,darraghg,White,87.4,57.3,2,11,15,75,7.569676347110224
973,chfeather,White,77.5,120.0,3,8,6,32,10.954451150103322
974,endpawn1,White,87.3,100.2,1,1,1,16,10.009995004993758
975,Arkivan66,Black,80.9,101.2,5,1,3,36,10.059821071967434
976,Arkivan66,White,82.6,86.4,2,12,9,41,9.2951600308978
977,neratzori4444,Black,85.5,95.1,4,9,1,28,9.751922887307918
978,KASPPOV1,White,91.6,33.1,0,7,7,65,5.75325994545701
979,Wantu,Black,80.2,78.6,4,8,11,46,8.8656641037206
980,Sniper1979,White,80.4,66.8,1,1,1,9,8.17312669668102
981,Sniper1979,Black,81.3,86.5,6,8,10,57,9.300537618869138
982,gim2,White,81.9,86.6,2,7,3,37,9.305912099305473
983,Arfil-007,Black,84.3,73.0,3,1,8,27,8.54400374531753
984,Marinade,Black,76.8,142.3,4,4,1,23,11.92895636675732
985,Marinade,White,81.8,116.0,4,4,3,26,10.770329614269007
986,Clsrumbles,White,85.2,105.6,3,6,4,33,10.276186062932103
987,SuperBizon,White,85.9,59.7,1,6,11,44,7.726577508832744
988,Jeremiadixie,White,77.5,137.9,1,3,2,15,11.74308307047174
989,sifredihot,Black,88.5,52.3,2,6,5,44,7.231873892705818
990,Genzel-Greta_5687,White,83.1,96.0,4,6,6,40,9.797958971132712
991,elle72,White,74.1,124.9,6,9,9,42,11.175866856758809
992,AhmadHafidz01,White,83.3,67.8,1,2,5,20,8.23407554009556
993,Shess1968,Black,80.5,163.8,4,2,4,22,12.798437404620925
994,emateeream,Black,87.0,42.5,2,2,8,40,6.519202405202649
995,PhthaloRook,White,89.6,30.8,0,1,3,17,5.549774770204643
996,mostafa100000,Black,78.0,77.2,3,7,6,29,8.78635305459552
997,Bobabas,Black,69.9,145.5,2,2,1,10,12.062338081814818
998,JMayes,White,86.8,76.0,2,7,9,42,8.717797887081348
999,jerryotton,Black,81.7,76.8,3,4,6,28,8.763560920082657
1000,Chylebri,White,91.8,38.6,1,5,6,71,6.212889826803627
1001,Akib15,White,88.5,33.2,0,1,1,13,5.761944116355173
1002,yaiddoki1,Black,80.2,101.5,10,10,13,62,10.074720839804943
1003,yaiddoki1,White,72.2,159.8,5,5,5,28,12.641202474448386
1004,yaiddoki1,Black,84.8,105.4,9,5,8,54,10.26645021416848
1005,declawed,White,90.6,29.9,0,3,2,27,5.468089245796926
1006,joneltano33,White,94.6,26.3,0,1,5,24,5.128352561983234
1007,JuanChess30,White,78.0,100.4,4,9,8,40,10.019980039900279
1008,Madarah,Black,78.9,117.5,2,1,1,14,10.8397416943394
1009,Naiguel,Black,86.3,91.5,2,5,3,32,9.565563234854496
1010,Naiguel,White,82.8,79.0,3,3,9,46,8.888194417315589
1011,kmakadi,White,88.3,30.0,0,0,7,24,5.477225575051661
1012,Herbert1960,Black,84.4,58.0,1,7,6,37,7.615773105863909
1013,edgarizarra,White,83.9,45.8,1,6,10,52,6.767569726275452
1014,igor_sh,Black,88.7,49.5,3,3,5,40,7.035623639735144
1015,Kovinkin,Black,71.8,149.4,3,2,1,12,12.222929272478018
1016,heriberto1993,White,86.1,37.0,0,2,4,23,6.082762530298219
1017,Pedrester,Black,75.8,139.0,4,3,5,22,11.789826122551595
1018,Smt1969,White,83.7,55.1,0,8,2,33,7.422937423958254
1019,Smt1969,Black,86.2,63.2,1,3,8,37,7.9498427657407165
1020,So_Tar_Doc,White,80.2,95.1,3,19,9,59,9.751922887307918
1021,chandrawilwatikta,White,70.9,161.1,8,8,3,38,12.692517480783708
1022,DorAleDmi,Black,87.5,77.7,5,4,4,32,8.814760348415605
1023,n5000,White,84.7,50.8,1,5,2,34,7.127411872482185
1024,DorAleDmi,Black,79.4,78.7,6,10,9,58,8.87130204648675
1025,Dgonrikk,White,81.9,84.1,1,3,3,22,9.1706052144883
1026,JFabian_14,White,84.1,74.8,3,4,3,29,8.648699324175862
1027,Francuzzu123,Black,85.8,48.0,3,2,10,57,6.928203230275509
1028,maestro1972,White,92.2,35.9,1,2,5,50,5.991660871578097
1029,renatoFernandez53,Black,69.6,165.4,3,3,1,10,12.860793132618221
1030,Don_Andriyan,White,80.7,101.1,2,5,4,26,10.054849576199537
1031,elgazar100,White,91.5,56.1,2,4,5,41,7.489993324429602
1032,CristopherCondoloo,White,78.6,138.2,6,7,5,47,11.755849607748475
1033,gormenghastly,White,80.8,79.7,3,3,5,29,8.927485648266257
1034,luchoxjazz,Black,82.1,66.2,3,3,7,27,8.136338242723197
1035,Betinhozua,White,81.4,69.4,1,7,5,29,8.330666239863412
1036,croncksiiete,Black,85.7,52.4,1,0,2,17,7.238784428341543
1037,xadrezdaantiga,Black,79.7,132.9,5,4,2,33,11.52822622956368
1038,serjiusfedron,White,81.7,116.0,5,10,6,39,10.770329614269007
1039,Theodor1936,White,91.3,53.8,1,5,4,37,7.334848328356899
1040,Emirnacir,Black,79.3,112.8,8,4,3,38,10.620734437881403
1041,Chessachieve,White,86.1,58.0,5,4,7,71,7.615773105863909
1042,asasinator93,Black,68.6,154.5,2,2,6,13,12.429802894656053
1043,cgtw888,White,84.4,64.6,2,4,6,36,8.037412518964047
1044,TCHERKEZIAN,White,84.9,59.0,1,4,3,31,7.681145747868608
1045,NJ75,Black,77.8,81.1,6,6,7,43,9.00555384193554
1046,alshamrdal,Black,76.9,152.2,4,7,7,32,12.336936410632909
1047,Miccaa,Black,80.8,92.1,2,4,4,29,9.596874491208062
1048,EARON5,White,80.2,104.8,7,7,6,51,10.237187113655782
1049,Chi07chi,Black,81.2,83.4,4,1,5,21,9.132360045464699
1050,Chi07chi,White,86.3,53.2,0,7,9,43,7.293833011524188
1051,Chi07chi,Black,79.0,119.9,9,8,10,63,10.94988584415381
1052,Profovka,White,87.1,53.2,1,3,3,33,7.293833011524188
1053,jimmyalcansado,Black,80.3,81.8,7,7,6,46,9.044335243676011
1054,Vigarma,White,83.8,76.6,1,3,3,27,8.752142594816426
1055,PiecesOf8,Black,84.5,42.3,0,3,2,19,6.5038450166036395
1056,mutaztaj1212,Black,97.7,6.6,0,0,1,14,2.569046515733026
1057,Charles121CM,White,81.3,107.3,3,3,3,32,10.358571330062848
1058,RussoTuristo,White,79.6,126.1,4,4,4,25,11.229425630903835
1059,Deepwater_01,Black,78.9,87.9,7,5,8,53,9.375499986667378
1060,KUDA-PTH,White,89.3,54.2,1,11,10,62,7.362064927722384
1061,ere_valadez,White,77.9,117.8,2,2,1,15,10.853570840972107
1062,vacio,Black,80.9,108.1,3,2,1,14,10.397114984456024
1063,Santa1986RU,White,83.2,93.9,4,15,9,70,9.690201236300513
1064,reyz828,White,87.1,33.5,0,1,7,21,5.787918451395113
1065,chingizildyrym,Black,90.1,31.0,0,1,5,22,5.5677643628300215
1066,ttnatu,White,85.8,69.3,5,5,4,59,8.324662155306964
1067,ttnatu,Black,90.2,30.4,0,0,4,13,5.513619500836088
1068,jabr007,Black,81.1,62.0,1,9,4,30,7.874007874011811
1069,hammerjoe,White,79.4,84.6,4,5,10,42,9.197825830053535
1070,hammerjoe,Black,79.2,108.8,8,5,8,38,10.430723848324238
1071,Coolsummer001,Black,90.4,35.2,0,2,6,26,5.932958789676531
1072,hamburguesaconpapas,White,81.5,98.4,2,8,4,39,9.919677414109795
1073,paulbroekhuyse,Black,84.5,66.8,3,8,6,44,8.17312669668102
1074,anuragvish,White,80.9,91.0,3,3,5,30,9.539392014169456
1075,Bomb_Man,Black,85.1,84.7,8,5,5,52,9.20326029187483
1076,yulbri,White,85.8,37.3,0,3,2,23,6.107372593840988
1077,melik044,Black,92.8,32.8,1,1,3,26,5.727128425310541
1078,chesslandeur,White,78.7,104.3,3,12,15,53,10.21273714534943
1079,Talalium,White,88.2,38.8,0,2,2,19,6.2289646009589745
1080,mShezny,Black,83.4,58.9,1,3,5,27,7.674633541739957
1081,Kareemelshenawy,White,94.5,17.5,0,1,1,22,4.183300132670378
1082,Lapabi94,Black,82.7,70.9,4,6,7,44,8.420213774008355
1083,mehran4836,Black,85.5,43.7,0,2,4,19,6.610597552415364
1084,vlad_clumsy_fox,White,89.2,80.5,2,4,7,38,8.972179222463181
1085,barniol,Black,85.4,69.0,2,2,8,31,8.306623862918075
1086,barniol,White,85.3,65.5,1,9,6,50,8.093207028119323
1087,damfid,Black,86.8,85.2,10,3,6,69,9.23038460737146
1088,NjovuA,White,90.0,35.2,0,4,4,32,5.932958789676531
1089,andrea64,Black,90.2,59.0,7,6,11,77,7.681145747868608
1090,Nankit,Black,79.6,81.5,7,1,11,49,9.027735042633894
1091,Muhammadiqbal212,White,79.7,136.5,4,14,6,45,11.683321445547923
1092,Yury51,Black,92.7,36.7,1,2,10,43,6.058052492344384
1093,magnusDoubleCopy,White,79.4,108.7,10,15,10,79,10.425929215182693
1094,sebalejo,White,79.5,89.2,1,5,3,22,9.444575162494075
1095,Sasha6027,Black,84.2,75.5,3,8,6,35,8.689073598491383
1096,AlexSpesh,White,85.5,103.8,9,13,7,81,10.188228501560022
1097,ThePythonGambit,Black,81.9,71.8,3,3,5,27,8.473488065725943
1098,MS989,Black,70.4,174.7,6,2,2,22,13.21741275741966
1099,Rudovideo,White,84.2,79.2,2,7,3,34,8.899438184514796
1100,ManintheGlass_0254,Black,79.3,97.8,7,8,13,54,9.889388252060893
1101,kajakas91,White,90.3,104.1,1,2,0,23,10.202940752547766
1102,madrij17,Black,82.3,56.0,1,2,8,24,7.483314773547883
1103,IamJappe,White,87.1,59.8,2,3,7,38,7.733045971672482
1104,abuu124,Black,85.9,43.1,2,4,5,50,6.565059024867941
1105,tamulmultactics,White,84.9,65.5,2,7,7,49,8.093207028119323
1106,RichardQuilichao,Black,86.8,57.8,3,4,7,38,7.602631123499285
1107,Stader_Loewe,White,88.1,44.3,0,8,4,42,6.6558245169174945
1108,Nando2023,White,89.5,30.9,0,2,1,20,5.558776843874918
1109,ulnarfondo,Black,92.9,47.5,3,4,8,47,6.892024376045111
1110,KingMagma,White,91.4,114.4,2,1,1,29,10.69579356569675
1111,subiyati74,Black,68.3,141.9,7,5,4,27,11.912178642045292
1112,dhekzter,White,96.9,28.6,0,1,3,24,5.347896782848375
1113,atamer69,Black,85.5,88.5,1,1,2,19,9.40744386111339
1114,yuriychessmaster,White,74.4,210.0,7,5,4,33,14.491376746189438
1115,Faluro1,White,92.0,54.0,1,5,9,39,7.3484692283495345
1116,francescotal,White,71.8,138.7,7,6,6,35,11.77709641634983
1117,MekusMD,Black,85.3,51.5,3,3,5,37,7.176350047203662
1118,JC_JADEJA,White,90.5,49.4,0,7,3,39,7.0285133563222315
1119,canomariangel,Black,86.1,44.0,1,1,3,16,6.6332495807108
1120,Mauri_94,Black,92.5,31.7,0,2,3,22,5.630275304103699
1121,bakan,Black,80.7,86.3,3,0,3,17,9.289779329994873
1122,Gennadiy1958,Black,88.4,50.1,2,6,7,50,7.078135347674555
1123,arielmroque,Black,86.6,61.4,6,11,8,81,7.835815209663893
1124,AmarKumarMahto,White,85.9,78.7,2,8,13,55,8.87130204648675
1125,AmarKumarMahto,Black,78.1,122.4,5,3,9,38,11.063453348751466
1126,twineagles,White,91.7,30.3,0,2,7,39,5.504543577809154
1127,ingmar2202,White,88.7,48.2,2,10,9,64,6.942621983083913
1128,kasapi1,Black,92.7,40.5,3,2,2,43,6.363961030678928
1129,jeroddant,White,87.4,49.3,1,1,6,23,7.021395872616783
1130,Chapadovisky,Black,81.6,70.4,3,3,2,34,8.390470785361213
1131,mike_anas-jr,Black,76.1,147.9,8,1,6,30,12.161414391426682
1132,crystal_king,White,84.9,43.9,0,2,4,14,6.6257075093909785
1133,skw60,White,84.4,65.1,3,10,5,61,8.068457101577723
1134,Anderskezers,Black,79.9,112.8,10,9,6,52,10.620734437881403
1135,firmamampetua,White,79.7,77.7,1,6,2,26,8.814760348415605
1136,bukanmain,Black,79.4,130.4,3,4,1,27,11.419281938896159
1137,guatache2022,White,84.7,60.2,3,10,5,62,7.758865896508329
1138,pessimisive,Black,89.6,29.5,0,1,5,24,5.431390245600108
1139,manoug,White,78.4,82.5,2,7,5,32,9.082951062292475
1140,kaushik2020,White,79.1,115.9,3,7,8,29,10.765686229869418
1141,RussianTexan,Black,78.9,71.8,1,2,2,12,8.473488065725943
1142,JorgeReinhos,Black,82.9,59.0,2,3,3,26,7.681145747868608
1143,ghazi57,White,93.3,25.0,0,2,6,43,5.0
1144,alex672,Black,82.0,68.0,2,4,5,25,8.246211251235321
1145,Davod3092,White,79.4,132.4,1,5,4,17,11.50651989091402
1146,leotf,Black,78.2,78.5,10,9,11,66,8.860022573334675
1147,Kaeptn_Kran,White,77.6,145.7,7,6,7,40,12.070625501605125
1148,supriadi_org,White,84.5,52.6,0,11,8,56,7.252585745787498
1149,Petro1984,Black,77.7,131.8,6,8,9,41,11.480418110852932
1150,jaskakurusta,Black,89.4,27.1,0,1,2,23,5.205766033928148
1151,mamuzicdjordje,Black,80.2,108.4,7,3,4,37,10.411532067856296
1152,Krupo26,White,94.7,33.3,0,1,6,24,5.770615218501403
1153,tmat29,White,82.7,61.6,1,4,10,34,7.848566748139434
1154,Shriyam26,Black,87.9,87.2,3,1,4,26,9.338094023943002
1155,Andreykuba22,White,90.5,29.2,0,1,3,19,5.403702434442518
1156,Marhinggan_Tamba,Black,74.1,102.1,6,10,5,41,10.104454463255301
1157,Gajah_Terang,Black,81.6,84.4,4,8,11,47,9.186947262284681
1158,jakob2700,White,88.2,72.8,2,5,4,55,8.532291603080617
1159,panskie,Black,83.6,94.7,6,3,10,35,9.731392500562292
1160,MirthfulMaster,White,78.9,143.9,4,10,3,25,11.995832609702422
1161,ManMucho1000,White,77.5,114.3,4,14,4,40,10.691117808723277
1162,ManMucho1000,Black,71.1,153.1,10,7,5,39,12.373358476985947
1163,ManMucho1000,White,79.4,123.1,11,8,7,77,11.095043938624128
1164,Mugnas_Corlsan,Black,91.8,64.4,5,2,7,44,8.024961059095553
1165,RoamGER,White,80.6,80.0,3,13,6,58,8.94427190999916
1166,Zobec,Black,87.9,53.6,3,4,6,48,7.321202087089251
1167,Phart,White,79.9,78.3,1,7,11,34,8.848728722251575
1168,aracena2020,Black,80.8,89.9,10,10,9,70,9.481561052906848
1169,Gamesadda,White,78.8,113.5,2,3,2,18,10.653637876331258
1170,MonkeyPig,Black,86.7,66.7,4,2,6,38,8.167006795638168
1171,grof87,Black,81.2,67.4,3,4,3,28,8.209750300709517
1172,kagadhor,White,84.2,64.0,1,15,11,61,8.0
1173,alexacuatic,White,91.7,44.8,2,4,2,44,6.6932802122726045
1174,dasielAG,White,90.9,34.8,0,1,2,12,5.89915248150105
1175,vukiller7,Black,83.6,75.3,4,2,5,39,8.677557259966655
1176,ajm225,Black,85.5,54.2,3,3,4,38,7.362064927722384
1177,Yurii_1947,White,76.9,106.1,10,18,10,75,10.300485425454472
1178,selami011235,Black,87.4,43.2,0,3,5,22,6.572670690061994
1179,selami011235,White,86.2,82.2,2,5,3,25,9.06642156531451
1180,selami011235,Black,82.3,62.0,2,1,5,21,7.874007874011811
1181,lled19,White,87.5,45.3,0,7,5,41,6.730527468185536
1182,dequatre,Black,79.6,100.6,2,4,1,17,10.029955134495866
1183,sleetone,Black,85.9,70.8,2,0,0,14,8.414273587185052
1184,hencosky,Black,72.3,164.9,2,1,1,7,12.841339493993608
1185,hencosky,White,82.2,80.2,1,2,1,16,8.955445270895245
1186,hencosky,Black,87.4,48.0,2,3,9,54,6.928203230275509
1187,hencosky,White,82.1,96.3,8,15,6,72,9.813256340277675
1188,UriyP1,Black,74.7,147.0,10,8,9,48,12.12435565298214
1189,Brambang,White,73.5,126.1,4,4,0,20,11.229425630903835
1190,Toyosi,Black,83.2,90.5,4,2,4,21,9.513148795220223
1191,Nurcha,Black,90.3,46.8,3,5,10,59,6.841052550594828
1192,gsm41,White,84.0,91.4,2,7,6,33,9.560334722173696
1193,bitsignal,Black,72.2,161.8,3,1,1,12,12.720062892926277
1194,Emelyanov_M,White,73.2,112.4,3,11,7,37,10.601886624558858
1195,Nawrashk,White,89.3,34.5,0,2,6,28,5.873670062235365
1196,sprs123,White,88.2,56.4,1,8,12,58,7.5099933422074345
1197,oill,Black,92.5,32.6,0,1,4,17,5.709640969448079
1198,SonerGokdag,Black,81.6,101.2,4,1,3,22,10.059821071967434
1199,Mostaafaa,White,84.7,79.0,5,4,10,65,8.888194417315589
1200,Azhibekov,Black,79.4,110.5,7,8,8,45,10.51189802081432
1201,makrane,White,92.2,20.2,0,1,2,22,4.494441010848846
1202,Xmarvel_a,Black,78.9,62.5,4,4,4,33,7.905694150420948
1203,Rustomchess,Black,88.0,112.6,4,5,7,35,10.611314715905847
1204,MisterDonNiko,Black,74.3,175.2,4,1,2,16,13.236313686219438
1205,limamarcelo,White,90.9,36.5,0,3,10,46,6.041522986797286
1206,limamarcelo,Black,78.7,89.3,8,1,6,41,9.44986772394196
1207,Tima1234567,Black,93.1,16.6,0,2,5,55,4.0743097574926725
1208,rokada2,White,89.0,27.9,0,0,7,36,5.282045058497703
1209,JonathanGartin,Black,93.1,19.9,0,1,3,22,4.460941604639093
1210,trhome,Black,94.7,13.1,0,0,1,10,3.6193922141707713
1211,timewaste_shatranj,White,84.4,74.0,1,9,5,36,8.602325267042627
1212,Raphplayschess,White,76.4,122.9,5,9,8,37,11.086027241532468
1213,nortonattack,White,79.3,117.2,4,7,17,57,10.825894882179487
1214,igrok_Liubitel,Black,85.6,51.3,1,3,4,21,7.162401831787993
1215,Kapoka24,White,82.0,66.5,0,9,9,40,8.154753215150045
1216,marianogp96,Black,84.2,66.0,1,2,6,20,8.12403840463596
1217,Cristian1771,Black,81.0,78.1,5,6,9,43,8.83742043811428
1218,repacio57,White,84.5,46.3,1,3,11,43,6.8044103344816
1219,Peter50,Black,88.1,76.5,3,3,3,32,8.74642784226795
1220,B00721,White,91.7,53.0,1,2,7,25,7.280109889280518
1221,Mollazadeh,Black,84.8,83.8,5,2,6,36,9.154233993076646
1223,NicuBoldijar,Black,89.5,67.6,6,7,4,82,8.221921916437786
1224,RamendraMazumder,White,82.8,64.4,1,4,5,32,8.024961059095553
1225,Paul8900,Black,83.5,108.8,4,1,4,19,10.430723848324238
1226,Matrix1,White,90.1,47.1,2,5,7,58,6.862943974709396
1227,Mazorcasuprema04,Black,81.3,104.5,5,12,2,40,10.222524150130436
1228,Enjoy1945,White,84.8,122.4,3,8,6,37,11.063453348751466
1229,ahmetselimturkaslan,Black,92.3,26.9,0,2,0,14,5.186520991955976
1230,Amakakeru257,Black,78.1,84.1,2,4,2,17,9.1706052144883
1231,boardblaster2007,Black,80.6,115.4,3,2,7,27,10.742439201596628
1232,Mazorcasuprema04,White,92.6,30.3,1,4,10,75,5.504543577809154
1233,Kingspoint,White,78.7,133.2,2,0,3,16,11.541230437002806
1234,motubmiku,White,82.5,70.1,2,3,7,33,8.372574275573792
1235,myates1970,Black,83.8,82.8,12,8,7,85,9.09945053286186
1236,SPARTANO23,Black,80.9,110.4,4,5,1,28,10.507140429250958
1237,limamarcelo,White,81.0,78.2,2,4,10,35,8.843076387773658
1238,bolt123,Black,90.3,53.4,1,2,0,17,7.307530362578044
1239,gons74,Black,86.4,88.6,3,2,5,24,9.412757300600074
1240,PREGGNANANDHAA,White,78.7,77.7,3,6,7,37,8.814760348415605
1241,Nis_12,Black,92.0,26.6,0,2,2,19,5.157518783291051
1242,Mok94,White,83.2,64.3,2,3,7,29,8.018728078691781
1243,Vermulen,Black,83.7,65.5,2,3,3,22,8.093207028119323
1244,bventil,White,85.0,74.1,1,5,3,28,8.608135686662937
1245,pionbatu,Black,86.9,121.3,5,6,5,40,11.013627921806693
1246,tidakbegitu,Black,82.7,85.6,6,1,4,27,9.252026804976301
1247,pacoso,White,91.7,35.1,0,2,6,31,5.92452529743945
1248,bihi61,White,84.7,60.1,2,11,6,55,7.752418977325722
1249,credicell,Black,87.7,77.2,2,0,8,28,8.78635305459552
1250,Abdullah2lose,Black,78.8,97.2,3,2,3,23,9.85900603509299
1251,fh55,Black,89.8,72.7,5,7,1,66,8.526429498916883
1252,fh55,White,88.8,47.3,1,12,11,78,6.877499545619759
1253,fh55,Black,76.1,145.3,7,12,7,48,12.054044964243332
1254,fh55,White,82.8,86.4,4,7,7,65,9.2951600308978
1255,fh55,Black,77.9,97.5,3,7,0,25,9.874208829065749
1256,fh55,White,79.1,107.9,6,8,7,57,10.387492478938313
1257,fh55,Black,78.9,108.3,2,1,4,19,10.406728592598157
1258,fh55,White,85.6,48.0,0,5,2,27,6.928203230275509
1259,fh55,Black,76.8,106.8,3,3,3,20,10.334408546211051
1260,fh55,White,85.4,69.8,4,12,7,76,8.35463942968217
1261,mth1983,White,83.8,80.4,3,6,4,36,8.966604708583958
1262,phm93,Black,82.7,61.8,1,3,2,21,7.861297602813418
1263,SmokingCastle,Black,80.1,75.7,2,4,2,25,8.700574693662483
1264,ChiefStyles,Black,90.2,25.7,0,0,4,16,5.06951674225463
1265,ChiefStyles,White,87.9,44.1,0,3,11,36,6.640783086353597
1266,nastiushka,Black,72.6,121.0,5,6,7,28,11.0
1267,burhan4it,White,80.6,119.8,4,8,11,43,10.945318634009702
